Наименование,Заказано,Местонахождение,,Цена\Итого,648189
Кабель КВВГэнг 10x2.5,425,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,10.82,
Кабель КВВГэнг 14x1.5,24,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,4.75,
Кабель КВВГэнг 5x2.5,345,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,2.17,
Кабель КВВГэнг 7x2.5,205,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,3.76,
Шкаф РЗА ВЛ-110кВ (2 комплекса),1,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,25650,
Кабель КВВГэнг 4x2.5,350,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,2.17,
Кабель КВВГэнг 4x1.5,75,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,3,
Кабель КВВГэнг 7x1.5,40,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,3.23,
Кабель КВВГэнг 10x1.5,66,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,3.53,
Герметик силиконовый тубус,1,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,9.6,
Изолента ПВХ 20м рулон,3,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,2.4,
Кабельная бирка для маркировки,80,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,0.12,
Хомут нейлон 3Х100 уп- 100шт.,5,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,1.8,
Хомут нейлон3х 200 уп-100шт.,3,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,1.8,
Хомут нейлон 3Х150 уп- 100шт.,2,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,1.8,
Цифровой преобразователь ЦП8507/2,2,,ПС Витебская-330 РЗА ВЛ-110кВ МР-771 В.Сев №1 ,502,