Наименование,Заказано,Местонахождение,,Цена\Итого,-452196
Реле МР301 (аналог МР500) (РУП БЭМН),2,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,1226.3,
Блок питания БПТМ 610 (РУП БЭМН),4,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,345.5,
Блок БР-8 (РУП БЭМН),4,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,55.2,
Цоколь GZT-4 к реле R4N на рейку DIN 35мм или панель,4,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,3.16,
Реле R4N-2014-23-1220-WT DC220В 6A 4 ноз,4,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,10,
Провод ПВ3-2.5,220,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,0.47,
Провод ПВ3-1.5,200,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,0.3,
Наконечник НКИ 2.5-4(кольцо 2.5мм2-М4) уп 100шт,4,,Ремонт РЗА распредсети МР-301 с АПВ ЛРЭС 2 шт,10,
"Трубка ТВ-40 ПВХ d4мм ""кембрик"" (м)",8,,Ремонт РЗА распредсети МР-301 с АПВ ЛРЭС 2 шт,0.26,
Хомут нейлон3х 200 уп-100шт.,4,,Ремонт РЗА распредсети МР-301 с АПВ ЛРЭС 2 шт,1.8,
Изолента ПВХ 20м рулон,4,,Ремонт РЗА распредсети МР-301 с АПВ ЛРЭС 2 шт,2.4,
Наконечник штыревой втулочный изолированный двойной НШвИ(2) 1.5х12 (100шт.),4,,Ремонт РЗА распредсети МР-301 с АПВ ЛРЭС 2 шт,7,
Наконечник штыревой втулочный изолированный двойной НШвИ(2) 2.5х12,4,,Ремонт РЗА распредсети МР-301 с АПВ ЛРЭС 2 шт,8,
Маркер ВS-1 перманентный чёрный 0.5мм,4,,Ремонт РЗА распредсети МР-301 с АПВ ЛРЭС 2 шт,15.5,
Реле МР301 (аналог МР500) (РУП БЭМН),2,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,1226.3,
Упоры для DIN-рейки,8,,Ремонт РЗА распредсети МР-301 с АПВ ТП-28 ЛРЭС,0.48,